,State Name,County,Congressional District,Zip Code,Energy Source,Agency,Year,Program Name,Total Number of Investments,Total Amount of Assistance,Description,State
752,Arkansas,Jackson,MO-01,72473,Biomass,FSA,2016,BCAP Project Area Cost-Share,1,71470.0,Giant Miscanthus crop propagation and planting,AR
753,Arkansas,Jackson,MO-01,72473,Biomass,FSA,2016,BCAP Project Area Rental,7,36668.0,Giant Miscanthus crop propagation and planting,AR
754,Arkansas,Jackson,MO-01,72473,Biomass,FSA,2017,BCAP Project Area Rental,6,24025.0,Giant Miscanthus crop propagation and planting,AR
755,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2012,BCAP Project Area Cost-Share,3,67971.0,Giant Miscanthus crop propagation and planting,AR
756,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2013,BCAP Project Area Cost-Share,2,59486.0,Giant Miscanthus crop propagation and planting,AR
757,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2013,BCAP Project Area Rental,3,5928.0,Giant Miscanthus crop propagation and planting,AR
758,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2014,BCAP Project Area Rental,3,5928.0,Giant Miscanthus crop propagation and planting,AR
759,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2016,BCAP Project Area Rental,2,8948.0,Giant Miscanthus crop propagation and planting,AR
760,Arkansas,Lawrence,MO-01,72410,Biomass,FSA,2017,BCAP Project Area Rental,2,2237.0,Giant Miscanthus crop propagation and planting,AR
761,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2012,BCAP Project Area Cost-Share,2,56656.0,Giant Miscanthus crop propagation and planting,AR
762,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2013,BCAP Project Area Cost-Share,2,49614.0,Giant Miscanthus crop propagation and planting,AR
763,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2013,BCAP Project Area Rental,2,5226.0,Giant Miscanthus crop propagation and planting,AR
764,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2014,BCAP Project Area Rental,2,5226.0,Giant Miscanthus crop propagation and planting,AR
765,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2015,BCAP Project Area Rental,2,5226.0,Giant Miscanthus crop propagation and planting,AR
766,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2016,BCAP Project Area Rental,2,5226.0,Giant Miscanthus crop propagation and planting,AR
767,Arkansas,Lawrence,MO-01,72433,Biomass,FSA,2017,BCAP Project Area Rental,1,2373.0,Giant Miscanthus crop propagation and planting,AR
768,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2012,BCAP Project Area Cost-Share,10,493028.0,Giant Miscanthus crop propagation and planting,AR
769,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2012,BCAP Project Area Rental,11,16409.0,Giant Miscanthus crop propagation and planting,AR
770,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2013,BCAP Project Area Cost-Share,4,69032.0,Giant Miscanthus crop propagation and planting,AR
771,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2013,BCAP Project Area Rental,10,18462.0,Giant Miscanthus crop propagation and planting,AR
772,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2014,BCAP Project Area Cost-Share,3,28073.0,Giant Miscanthus crop propagation and planting,AR
773,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2014,BCAP Project Area Rental,12,37114.0,Giant Miscanthus crop propagation and planting,AR
774,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2015,BCAP Project Area Rental,13,39724.0,Giant Miscanthus crop propagation and planting,AR
775,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2016,BCAP Project Area Rental,12,33821.0,Giant Miscanthus crop propagation and planting,AR
776,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2017,BCAP Project Area Rental,10,33868.0,Giant Miscanthus crop propagation and planting,AR
777,Arkansas,Lawrence,MO-01,72469,Biomass,FSA,2018,BCAP Project Area Rental,2,5604.0,Giant Miscanthus crop propagation and planting,AR
778,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2012,BCAP Project Area Cost-Share,1,16748.0,Giant Miscanthus crop propagation and planting,AR
779,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2012,BCAP Project Area Rental,1,1044.0,Giant Miscanthus crop propagation and planting,AR
780,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2013,BCAP Project Area Cost-Share,1,5016.0,Giant Miscanthus crop propagation and planting,AR
781,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2013,BCAP Project Area Rental,1,1047.0,Giant Miscanthus crop propagation and planting,AR
782,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2014,BCAP Project Area Rental,1,2091.0,Giant Miscanthus crop propagation and planting,AR
783,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2016,BCAP Project Area Rental,1,2091.0,Giant Miscanthus crop propagation and planting,AR
784,Arkansas,Poinsett,MO-01,72354,Biomass,FSA,2017,BCAP Project Area Rental,1,2091.0,Giant Miscanthus crop propagation and planting,AR
785,Arkansas,Poinsett,MO-01,72365,Biomass,FSA,2012,BCAP Project Area Cost-Share,2,83352.0,Giant Miscanthus crop propagation and planting,AR
786,Arkansas,Poinsett,MO-01,72365,Biomass,FSA,2012,BCAP Project Area Rental,2,5202.0,Giant Miscanthus crop propagation and planting,AR
787,Arkansas,Poinsett,MO-01,72365,Biomass,FSA,2013,BCAP Project Area Cost-Share,3,110628.0,Giant Miscanthus crop propagation and planting,AR
788,Arkansas,Poinsett,MO-01,72365,Biomass,FSA,2013,BCAP Project Area Rental,2,5202.0,Giant Miscanthus crop propagation and planting,AR
789,Arkansas,Poinsett,MO-01,72365,Biomass,FSA,2014,BCAP Project Area Rental,2,10404.0,Giant Miscanthus crop propagation and planting,AR
790,Arkansas,Randolph,MO-01,72455,Biomass,FSA,2012,BCAP Project Area Cost-Share,1,111066.0,Giant Miscanthus crop propagation and planting,AR
791,Arkansas,Randolph,MO-01,72455,Biomass,FSA,2013,BCAP Project Area Rental,1,10314.0,Giant Miscanthus crop propagation and planting,AR
792,Arkansas,Randolph,MO-01,72455,Biomass,FSA,2014,BCAP Project Area Rental,1,10314.0,Giant Miscanthus crop propagation and planting,AR
793,Arkansas,Randolph,MO-01,72455,Biomass,FSA,2016,BCAP Project Area Rental,1,20628.0,Giant Miscanthus crop propagation and planting,AR
794,Arkansas,Randolph,MO-01,72455,Biomass,FSA,2017,BCAP Project Area Rental,1,5157.0,Giant Miscanthus crop propagation and planting,AR
795,Arkansas,Clay,MO-01,72422,Solar,RBS,2021,Rural Energy for America Program (REAP),1,77854.0,Solar Electric,AR
796,Arkansas,Craighead,MO-01,72404,Solar,RBS,2021,Rural Energy for America Program (REAP),1,29696.0,Solar Electric,AR
797,Arkansas,Desha,MO-01,71674,Solar,RBS,2021,Energy Efficiency Improvement Grant (REAP),1,15840.0,Solar Electric,AR
798,Arkansas,Izard,MO-01,72566,Solar,RBS,2021,Rural Energy for America Program (REAP),1,48750.0,Solar Electric,AR
799,Arkansas,Lincoln,MO-01,71643,Solar,RBS,2021,Rural Energy for America Program (REAP),1,100000.0,Solar Electric,AR
800,Arkansas,Lonoke,MO-01,72072,Solar,RBS,2021,Rural Energy for America Program (REAP),1,96268.0,Solar Electric,AR
801,Arkansas,Randolph,MO-01,72455,Solar,RBS,2021,Energy Efficiency Improvement Grant (REAP),2,32838.0,Solar Electric,AR
802,Arkansas,Randolph,MO-01,72455,Solar,RBS,2021,Rural Energy for America Program (REAP),2,135404.0,Solar Electric,AR
803,Arkansas,Ashley,OK-04,71646,Solar,RBS,2021,Rural Energy for America Program (REAP),1,100000.0,Solar Electric,AR
804,Arkansas,Dallas,OK-04,71742,Solar,RBS,2021,Energy Efficiency Improvement Grant (REAP),1,19573.0,Solar Electric,AR
805,California,Butte,CA-01,95928,Biomass,FSA,2009,BCAP Matching Payments (NOFA),3,49703.0,,CA
806,California,Butte,CA-01,95928,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,112.59,Biofuels,CA
807,California,Butte,CA-01,95938,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,1872000.0,,CA
808,California,Butte,CA-01,95938,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,1294399.0,,CA
809,California,Butte,CA-01,95948,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,38641.0,,CA
810,California,Butte,CA-01,95965,Biomass,FS,2017,Wood Innovations Grants,1,250000.0,,CA
811,California,Butte,CA-01,95965,Biomass,FSA,2014,BCAP Matching Payments,1,110534.0,Byproduct of hazardous fuels reduction (fire),CA
812,California,Butte,CA-01,95965,Biomass,FSA,2015,BCAP Matching Payments,3,101310.0,Byproduct of hazardous fuels reduction (fire),CA
813,California,Butte,CA-01,95965,Biomass,FSA,2016,BCAP Matching Payments,1,25662.0,Byproduct disease containment or reduction,CA
814,California,Butte,CA-01,95965,Biomass,FSA,2016,BCAP Matching Payments,2,79502.0,Byproduct of hazardous fuels reduction (fire),CA
815,California,Butte,CA-01,95966,Biomass,FS,2010,Woody Biomass Utilization Grant,1,300000.0,Purchase Fuel Efficient Whole Tree Chipper,CA
816,California,Butte,CA-01,95966,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,654283.0,,CA
817,California,Butte,CA-01,95966,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,7406.0,,CA
818,California,Butte,CA-01,95973,Biomass,FSA,2009,BCAP Matching Payments (NOFA),7,763560.0,,CA
819,California,Butte,CA-01,95973,Biomass,FSA,2010,BCAP Matching Payments (NOFA),22,1108817.0,,CA
820,California,Lassen,CA-01,96009,Biomass,FS,2010,Woody Biomass Utilization Grant,1,350000.0,Chipper and Support Equipment for Increased Productivity and Expansion,CA
821,California,Lassen,CA-01,96009,Biomass,FSA,2014,BCAP Matching Payments,1,37423.0,Byproduct of hazardous fuels reduction (fire),CA
822,California,Lassen,CA-01,96009,Biomass,FSA,2015,BCAP Matching Payments,2,38138.0,Byproduct of hazardous fuels reduction (fire),CA
823,California,Lassen,CA-01,96009,Biomass,FSA,2016,BCAP Matching Payments,1,125983.0,Byproduct of hazardous fuels reduction (fire),CA
824,California,Lassen,CA-01,96009,Biomass,FSA,2017,BCAP Matching Payments,2,51829.0,Byproduct disease containment or reduction,CA
825,California,Lassen,CA-01,96009,Biomass,FSA,2018,BCAP Matching Payments,1,23745.0,Byproduct disease containment or reduction,CA
826,California,Lassen,CA-01,96009,Biomass,FSA,2018,BCAP Matching Payments,1,4426.0,Byproduct of hazardous fuels reduction (fire),CA
827,California,Lassen,CA-01,96056,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,31212.0,,CA
828,California,Lassen,CA-01,96056,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,491625.0,,CA
829,California,Lassen,CA-01,96130,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,14464.0,,CA
830,California,Lassen,CA-01,96136,Biomass,FS,2017,Wood Innovations Grants,1,229552.0,,CA
831,California,Lassen,CA-01,96136,Biomass,FS,2018,Wood Innovations Grants,1,216466.0,,CA
832,California,Modoc,CA-01,96101,Biomass,FS,2005,Woody Biomass Utilization Grant,1,249960.0,Tionesta WUI (Wildland-Urban Interface) Fuels and Plantation Management Biomass Project,CA
833,California,Modoc,CA-01,96101,Biomass,FS,2012,Woody Biomass Utilization Grant,1,124875.0,,CA
834,California,Nevada,CA-01,95959,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,36200.0,,CA
835,California,Nevada,CA-01,95975,Biomass,FS,2015,Wood Innovations Grants,1,250000.0,,CA
836,California,Nevada,CA-01,95975,Biomass,FS,2015,Woody Biomass Utilization Grant,1,250000.0,Sierra Foothills Bundled Task Force,CA
837,California,Plumas,CA-01,95971,Biomass,FS,2017,Wood Innovations Grants,1,250000.0,,CA
838,California,Plumas,CA-01,95983,Biomass,FS,2013,Woody Biomass Utilization Grant,1,300000.0,Plumas County Energy System - Woody Biomass processing Hub,CA
839,California,Plumas,CA-01,95983,Biomass,FS,2015,Wood Innovations Grants,1,310352.0,,CA
840,California,Plumas,CA-01,95983,Biomass,FS,2015,Woody Biomass Utilization Grant,1,250000.0,Plumas County Energy System,CA
841,California,Plumas,CA-01,95983,Biomass,FS,2016,Wood Innovations Grants,1,250000.0,,CA
842,California,Plumas,CA-01,95983,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,5417.0,,CA
843,California,Plumas,CA-01,96020,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,171932.0,,CA
844,California,Plumas,CA-01,96020,Biomass,FSA,2015,BCAP Matching Payments,1,91110.0,Byproduct of hazardous fuels reduction (fire),CA
845,California,Plumas,CA-01,96103,Biomass,FSA,2015,BCAP Matching Payments,1,7292.0,Byproduct of hazardous fuels reduction (fire),CA
846,California,Plumas,CA-01,96105,Biomass,RBS,2011,Advanced Biofuel Payment Program,1,12536.99,Biofuels,CA
847,California,Plumas,CA-01,96105,Biomass,RBS,2012,Advanced Biofuel Payment Program,1,1173.04,Biofuels,CA
848,California,Plumas,CA-01,96105,Biomass,RBS,2013,Advanced Biofuel Payment Program,1,2152.47,Biofuels,CA
849,California,Plumas,CA-01,96105,Biomass,RBS,2014,Advanced Biofuel Payment Program,1,10856.55,Biofuels,CA
850,California,Plumas,CA-01,96105,Biomass,RBS,2015,Advanced Biofuel Payment Program,1,4131.75,Biofuels,CA
851,California,Plumas,CA-01,96105,Biomass,RBS,2016,Advanced Biofuel Payment Program,1,9457.43,Biofuels,CA
852,California,Plumas,CA-01,96105,Biomass,RBS,2017,Advanced Biofuel Payment Program,1,395.11,Biofuels,CA
853,California,Plumas,CA-01,96105,Biomass,RBS,2018,Advanced Biofuel Payment Program,1,282.79,Biofuels,CA
854,California,Plumas,CA-01,96137,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,60000.0,,CA
855,California,Plumas,CA-01,96137,Biomass,FSA,2014,BCAP Matching Payments,1,13782.0,Byproduct of hazardous fuels reduction (fire),CA
856,California,Shasta,CA-01,96001,Biomass,FS,2009,Woody Biomass Utilization Grant,1,248000.0,Blue Lake Power Roundwood Project,CA
857,California,Shasta,CA-01,96002,Biomass,FSA,2009,BCAP Matching Payments (NOFA),3,343202.0,,CA
858,California,Shasta,CA-01,96002,Biomass,FSA,2010,BCAP Matching Payments (NOFA),5,250540.0,,CA
859,California,Shasta,CA-01,96003,Biomass,FS,2006,Woody Biomass Utilization Grant,1,241500.0,Big Valley Power - Small Diameter Log Utilization Project,CA
860,California,Shasta,CA-01,96003,Biomass,FS,2009,Woody Biomass Utilization Grant,1,250000.0,Purchase of a Timber Pro TL725-B feller-buncher,CA
861,California,Shasta,CA-01,96003,Biomass,FS,2010,Woody Biomass Utilization Grant,1,350000.0,Purchase a John Deere Track Feller Buncher,CA
862,California,Shasta,CA-01,96003,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,1054347.0,,CA
863,California,Shasta,CA-01,96007,Biomass,FS,2010,Woody Biomass Utilization Grant,1,350000.0,Headrick Logging Biomass Project,CA
864,California,Shasta,CA-01,96007,Biomass,FS,2011,Woody Biomass Utilization Grant,1,250000.0,Restart/Repower 6 MW Kiara Anderson Biomass Generating Plant,CA
865,California,Shasta,CA-01,96007,Biomass,FSA,2009,BCAP Matching Payments (NOFA),4,452983.0,,CA
866,California,Shasta,CA-01,96007,Biomass,FSA,2010,BCAP Matching Payments (NOFA),6,909587.0,,CA
867,California,Shasta,CA-01,96008,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,180000.0,,CA
868,California,Shasta,CA-01,96008,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,502983.0,,CA
869,California,Shasta,CA-01,96008,Biomass,FSA,2014,BCAP Matching Payments,1,68968.0,Byproduct disease containment or reduction,CA
870,California,Shasta,CA-01,96008,Biomass,FSA,2014,BCAP Matching Payments,1,11172.0,Byproduct of hazardous fuels reduction (fire),CA
871,California,Shasta,CA-01,96008,Biomass,FSA,2015,BCAP Matching Payments,5,180703.0,Byproduct of hazardous fuels reduction (fire),CA
872,California,Shasta,CA-01,96008,Biomass,FSA,2016,BCAP Matching Payments,4,266512.0,Byproduct of hazardous fuels reduction (fire),CA
873,California,Shasta,CA-01,96008,Biomass,FSA,2017,BCAP Matching Payments,1,68967.0,Byproduct disease containment or reduction,CA
874,California,Shasta,CA-01,96008,Biomass,FSA,2017,BCAP Matching Payments,1,41376.0,Byproduct of hazardous fuels reduction (fire),CA
875,California,Shasta,CA-01,96013,Biomass,FS,2021,Wood Innovations Grants,1,247000.0,,CA
876,California,Shasta,CA-01,96013,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,144061.0,,CA
877,California,Shasta,CA-01,96013,Biomass,FSA,2010,BCAP Matching Payments (NOFA),8,2601687.0,,CA
878,California,Shasta,CA-01,96013,Biomass,FSA,2014,BCAP Matching Payments,2,29365.0,Byproduct of hazardous fuels reduction (fire),CA
879,California,Shasta,CA-01,96013,Biomass,FSA,2015,BCAP Matching Payments,5,162293.0,Byproduct of hazardous fuels reduction (fire),CA
880,California,Shasta,CA-01,96013,Biomass,FSA,2016,BCAP Matching Payments,1,68951.0,Byproduct insect containment or reduction,CA
881,California,Shasta,CA-01,96013,Biomass,FSA,2016,BCAP Matching Payments,1,49565.0,Byproduct of hazardous fuels reduction (fire),CA
882,California,Shasta,CA-01,96013,Biomass,FSA,2017,BCAP Matching Payments,1,52618.0,Byproduct of hazardous fuels reduction (fire),CA
883,California,Shasta,CA-01,96022,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,173993.0,,CA
884,California,Shasta,CA-01,96022,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,106665.0,,CA
885,California,Shasta,CA-01,96022,Biomass,FSA,2016,BCAP Matching Payments,1,19900.0,Orchard Waste,CA
886,California,Shasta,CA-01,96056,Biomass,FS,2016,Wood Innovations Grants,1,249350.0,,CA
887,California,Shasta,CA-01,96088,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,84277.0,,CA
888,California,Shasta,CA-01,96088,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,33651.0,,CA
889,California,Sierra,CA-01,95922,Biomass,FS,2017,Wood Innovations Grants,1,249949.0,,CA
890,California,Sierra,CA-01,96118,Biomass,FS,2012,Woody Biomass Utilization Grant,1,70125.0,,CA
891,California,Sierra,CA-01,96124,Biomass,FSA,2016,BCAP Matching Payments,1,14097.0,Byproduct of hazardous fuels reduction (fire),CA
892,California,Siskiyou,CA-01,96027,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,42120.0,,CA
893,California,Siskiyou,CA-01,96032,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,5657.0,,CA
894,California,Siskiyou,CA-01,96032,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,28035.0,,CA
895,California,Siskiyou,CA-01,96038,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,1099308.0,,CA
896,California,Siskiyou,CA-01,96038,Biomass,FSA,2015,BCAP Matching Payments,1,138186.0,Byproduct of hazardous fuels reduction (fire),CA
897,California,Siskiyou,CA-01,96038,Biomass,FSA,2016,BCAP Matching Payments,2,429496.0,Byproduct of hazardous fuels reduction (fire),CA
898,California,Siskiyou,CA-01,96038,Biomass,FSA,2017,BCAP Matching Payments,2,76346.0,Byproduct of hazardous fuels reduction (fire),CA
899,California,Siskiyou,CA-01,96044,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,87113.0,,CA
900,California,Siskiyou,CA-01,96064,Biomass,FS,2009,Woody Biomass Utilization Grant,1,250000.0,"Horizontal Grinder for Hazard Fuel Reduction, Logging Slash and Juniper Tree Utilization",CA
901,California,Tehama,CA-01,95963,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,466032.0,,CA
902,California,Tehama,CA-01,95963,Biomass,FSA,2010,BCAP Matching Payments (NOFA),3,156694.0,,CA
903,California,Tehama,CA-01,96021,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,60388.0,,CA
904,California,Tehama,CA-01,96035,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,32793.0,,CA
905,California,Tehama,CA-01,96080,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,66900.0,,CA
906,California,Tehama,CA-01,96080,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,63526.0,,CA
907,California,Tehama,CA-01,96092,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,46051.0,,CA
908,California,Butte,CA-01,95917,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),2,30621.0,Solar Electric,CA
909,California,Butte,CA-01,95917,Solar,RBS,2013,Rural Energy for America Program (REAP),1,20000.0,Solar Large,CA
910,California,Butte,CA-01,95917,Solar,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,16538.0,Solar Electric,CA
911,California,Butte,CA-01,95917,Solar,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,19346.0,Solar Small,CA
912,California,Butte,CA-01,95917,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
913,California,Butte,CA-01,95917,Solar,RBS,2020,Rural Energy for America Program (REAP),1,52497.0,Solar Electric,CA
914,California,Butte,CA-01,95928,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),1,8913.0,Solar Electric,CA
915,California,Butte,CA-01,95928,Solar,RBS,2015,Rural Energy for America Program (REAP),2,98464.0,Solar Small,CA
916,California,Butte,CA-01,95928,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
917,California,Butte,CA-01,95928,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,9363.0,Solar Electric,CA
918,California,Butte,CA-01,95928,Solar,RBS,2019,Renewable Energy Systems (REAP),1,50000.0,Solar Electric,CA
919,California,Butte,CA-01,95938,Solar,RBS,2010,Energy Efficiency Improvement Grant (REAP),1,13860.0,Solar Electric,CA
920,California,Butte,CA-01,95938,Solar,RBS,2020,Energy Efficiency Improvement Grant (REAP),1,8497.0,Solar Electric,CA
921,California,Butte,CA-01,95942,Solar,RBS,2010,Energy Efficiency Improvement Grant (REAP),1,11497.0,Solar Electric,CA
922,California,Butte,CA-01,95948,Solar,RBS,2012,Energy Efficiency Improvement Grant (REAP),1,11205.0,Solar Electric,CA
923,California,Butte,CA-01,95965,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),2,29916.0,Solar Electric,CA
924,California,Butte,CA-01,95965,Solar,RBS,2012,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
925,California,Butte,CA-01,95965,Solar,RBS,2013,Rural Energy for America Program (REAP),2,40000.0,Solar Large,CA
926,California,Butte,CA-01,95965,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
927,California,Butte,CA-01,95965,Solar,RBS,2019,Rural Energy for America Program (REAP),1,198375.0,Solar Electric,CA
928,California,Butte,CA-01,95973,Solar,RBS,2013,Rural Energy for America Program (REAP),1,19999.0,Solar Large,CA
929,California,Butte,CA-01,95974,Solar,RBS,2010,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
930,California,Butte,CA-01,95974,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),1,13805.0,Solar Electric,CA
931,California,Butte,CA-01,95974,Solar,RBS,2011,Rural Energy for America Program (REAP),1,42613.0,Solar Electric,CA
932,California,Glenn,CA-01,95920,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),1,14021.0,Solar Electric,CA
933,California,Glenn,CA-01,95920,Solar,RBS,2013,Rural Energy for America Program (REAP),2,142722.0,Solar Large,CA
934,California,Glenn,CA-01,95920,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
935,California,Glenn,CA-01,95943,Solar,RBS,2016,Energy Efficiency Improvement Grant (REAP),2,35580.0,Solar Electric,CA
936,California,Glenn,CA-01,95943,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,7455.0,Solar Electric,CA
937,California,Glenn,CA-01,95943,Solar,RBS,2020,Rural Energy for America Program (REAP),1,135900.0,Solar Electric,CA
938,California,Glenn,CA-01,95963,Solar,RBS,2013,Rural Energy for America Program (REAP),1,20000.0,Solar Large,CA
939,California,Glenn,CA-01,95963,Solar,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,6519.0,Solar Small,CA
940,California,Glenn,CA-01,95963,Solar,RBS,2018,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
941,California,Glenn,CA-01,95970,Solar,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Small,CA
942,California,Plumas,CA-01,96122,Solar,RUS,2016,Electric Program,1,23826000.0,,CA
943,California,Plumas,CA-01,96135,Solar,RBS,2011,Rural Energy for America Program (REAP),1,204858.0,Solar Electric,CA
944,California,Shasta,CA-01,96028,Solar,RBS,2010,Rural Energy for America Program (REAP),1,48606.0,Solar Electric,CA
945,California,Shasta,CA-01,96056,Solar,RBS,2013,Rural Energy for America Program (REAP),1,21240.0,Solar Large,CA
946,California,Siskiyou,CA-01,96058,Solar,RBS,2010,Energy Efficiency Improvement Grant (REAP),1,9875.0,,CA
947,California,Siskiyou,CA-01,96058,Solar,RBS,2013,Rural Energy for America Program (REAP),1,62298.0,Solar Large,CA
948,California,Tehama,CA-01,96021,Solar,RBS,2003,Renewable Energy Systems (REAP),1,25250.0,Solar Electric,CA
949,California,Tehama,CA-01,96021,Solar,RBS,2017,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
950,California,Tehama,CA-01,96035,Solar,RBS,2011,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
951,California,Tehama,CA-01,96055,Solar,RBS,2015,Rural Energy for America Program (REAP),1,19590.0,Solar Small,CA
952,California,Tehama,CA-01,96080,Solar,RBS,2012,Energy Efficiency Improvement Grant (REAP),1,11263.0,Solar Electric,CA
953,California,Tehama,CA-01,96080,Solar,RBS,2013,Rural Energy for America Program (REAP),1,43146.0,Solar Large,CA
954,California,Tehama,CA-01,96080,Solar,RBS,2015,Energy Efficiency Improvement Grant (REAP),1,20000.0,Solar Electric,CA
955,California,Tehama,CA-01,96080,Solar,RBS,2015,Rural Energy for America Program (REAP),1,37199.0,Solar Electric,CA
956,California,Tehama,CA-01,96080,Solar,RBS,2015,Rural Energy for America Program (REAP),1,24957.0,Solar Small,CA
957,California,Butte,CA-01,95928,Wind,RBS,2009,Rural Energy for America Program (REAP),2,147897.0,Wind Small,CA
958,California,Humboldt,CA-02,95501,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,135899.0,,CA
959,California,Humboldt,CA-02,95503,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,100853.0,,CA
960,California,Humboldt,CA-02,95519,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,138000.0,,CA
961,California,Humboldt,CA-02,95521,Biomass,FSA,2010,BCAP Matching Payments (NOFA),4,415209.0,,CA
962,California,Humboldt,CA-02,95540,Biomass,FS,2009,Woody Biomass Utilization Grant,1,250000.0,Purchase a Morbark 40/36 drum chipper to produce fuel for wood-fired power plants,CA
963,California,Humboldt,CA-02,95540,Biomass,FSA,2009,BCAP Matching Payments (NOFA),2,27879.0,,CA
964,California,Humboldt,CA-02,95540,Biomass,FSA,2010,BCAP Matching Payments (NOFA),1,22569.0,,CA
965,California,Humboldt,CA-02,95549,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,133000.0,,CA
966,California,Humboldt,CA-02,95549,Biomass,FSA,2010,BCAP Matching Payments (NOFA),2,77116.0,,CA
967,California,Humboldt,CA-02,95555,Biomass,FSA,2009,BCAP Matching Payments (NOFA),1,16000.0,,CA
